date,sales,vol,p_avg,p_med,total_listing,months_inventory,msa
Jan-2015,1508,315494167,209214,178129,7661,3.5,"San Antonio-New Braunfels, TX"
Feb-2015,1831,400664614,218823,187000,7834,3.6,"San Antonio-New Braunfels, TX"
Mar-2015,2345,525161554,223949,185000,7813,3.5,"San Antonio-New Braunfels, TX"
Apr-2015,2521,561147838,222589,187000,8246,3.6,"San Antonio-New Braunfels, TX"
May-2015,2724,659331746,242045,198950,8661,3.8,"San Antonio-New Braunfels, TX"
Jun-2015,3047,730819445,239849,199990,9029,3.9,"San Antonio-New Braunfels, TX"
Jul-2015,3074,728338028,236935,199450,9527,4,"San Antonio-New Braunfels, TX"
Aug-2015,2723,633942496,232810,196000,9334,3.9,"San Antonio-New Braunfels, TX"
Sep-2015,2536,589706587,232534,190500,9262,3.9,"San Antonio-New Braunfels, TX"
Oct-2015,2348,536105247,228324,185000,9112,3.8,"San Antonio-New Braunfels, TX"
Nov-2015,1840,399181036,216946,184000,8822,3.7,"San Antonio-New Braunfels, TX"
Dec-2015,2383,558076457,234191,195700,8082,3.4,"San Antonio-New Braunfels, TX"
Jan-2016,1617,361030890,223272,185000,8444,3.5,"San Antonio-New Braunfels, TX"
Feb-2016,2026,458678792,226396,190000,8480,3.5,"San Antonio-New Braunfels, TX"
Mar-2016,2698,617699374,228947,199000,8868,3.6,"San Antonio-New Braunfels, TX"
Apr-2016,2639,617148687,233857,199900,9075,3.7,"San Antonio-New Braunfels, TX"
May-2016,2969,722047464,243196,207500,9269,3.7,"San Antonio-New Braunfels, TX"
Jun-2016,3244,788698499,243125,209950,9482,3.8,"San Antonio-New Braunfels, TX"
Jul-2016,2992,732291058,244750,209000,9761,3.9,"San Antonio-New Braunfels, TX"
Aug-2016,3115,757072128,243041,207500,9633,3.8,"San Antonio-New Braunfels, TX"
Sep-2016,2792,665583406,238389,201950,9225,3.6,"San Antonio-New Braunfels, TX"
Oct-2016,2560,614460702,240024,205000,8985,3.5,"San Antonio-New Braunfels, TX"
Nov-2016,2314,553665955,239268,200000,8632,3.3,"San Antonio-New Braunfels, TX"
Dec-2016,2546,607269921,238519,207500,7821,3,"San Antonio-New Braunfels, TX"
Jan-2017,1790,413850124,231201,195000,7885,3,"San Antonio-New Braunfels, TX"
Feb-2017,2084,479302903,229992,200000,7512,2.8,"San Antonio-New Braunfels, TX"
Mar-2017,2771,672259718,242605,200000,8011,3,"San Antonio-New Braunfels, TX"
Apr-2017,2597,644168449,248043,210000,8706,3.3,"San Antonio-New Braunfels, TX"
May-2017,3282,836344957,254828,219000,9125,3.4,"San Antonio-New Braunfels, TX"
Jun-2017,3466,881427383,254307,218050,9900,3.7,"San Antonio-New Braunfels, TX"
Jul-2017,3138,793497046,252867,214875,10126,3.7,"San Antonio-New Braunfels, TX"
Aug-2017,3158,789686898,250059,215000,10126,3.7,"San Antonio-New Braunfels, TX"
Jan-1990,1943,204559040,105280,86416,31342,16.1,"Dallas-Fort Worth-Arlington, TX"
Feb-1990,1686,180398628,106998,85477,31818,17.5,"Dallas-Fort Worth-Arlington, TX"
Mar-1990,2625,274257375,104479,84503,32670,15.7,"Dallas-Fort Worth-Arlington, TX"
Apr-1990,2387,255268167,106941,83744,33250,15.4,"Dallas-Fort Worth-Arlington, TX"
May-1990,2520,282232440,111997,84106,33316,14.9,"Dallas-Fort Worth-Arlington, TX"
Jun-1990,2521,279064616,110696,91391,36503,16,"Dallas-Fort Worth-Arlington, TX"
Jul-1990,2859,309955626,108414,86728,33297,14.1,"Dallas-Fort Worth-Arlington, TX"
Aug-1990,2821,309816325,109825,85564,32214,13.3,"Dallas-Fort Worth-Arlington, TX"
Sep-1990,2184,235131624,107661,85401,35677,14.9,"Dallas-Fort Worth-Arlington, TX"
Oct-1990,2142,209072052,97606,80331,34938,14.7,"Dallas-Fort Worth-Arlington, TX"
Nov-1990,2077,204416263,98419,81119,34733,14.8,"Dallas-Fort Worth-Arlington, TX"
Dec-1990,2045,199452940,97532,79617,31666,13.7,"Dallas-Fort Worth-Arlington, TX"
Jan-1991,1752,175816704,100352,79234,32959,14.3,"Dallas-Fort Worth-Arlington, TX"
Feb-1991,1689,164142087,97183,86770,34066,14.8,"Dallas-Fort Worth-Arlington, TX"
Mar-1991,2134,224104144,105016,81243,35335,15.6,"Dallas-Fort Worth-Arlington, TX"
Apr-1991,2375,262988500,110732,82120,35214,15.6,"Dallas-Fort Worth-Arlington, TX"
May-1991,2890,326674040,113036,84610,35376,15.4,"Dallas-Fort Worth-Arlington, TX"
Jun-1991,2964,316958304,106936,85677,35637,15.3,"Dallas-Fort Worth-Arlington, TX"
Jul-1991,2611,295040389,112999,87500,35669,15.5,"Dallas-Fort Worth-Arlington, TX"
Aug-1991,2825,301834300,106844,78985,30653,13.3,"Dallas-Fort Worth-Arlington, TX"
Sep-1991,2284,249015384,109026,76398,30040,13,"Dallas-Fort Worth-Arlington, TX"
Oct-1991,2117,221990737,104861,82157,30712,13.3,"Dallas-Fort Worth-Arlington, TX"
Nov-1991,1914,208635570,109005,84287,28533,12.4,"Dallas-Fort Worth-Arlington, TX"
Dec-1991,1895,212156620,111956,88485,27331,11.9,"Dallas-Fort Worth-Arlington, TX"
Jan-1992,1538,167768116,109082,86326,28687,12.6,"Dallas-Fort Worth-Arlington, TX"
Feb-1992,1914,204403716,106794,86681,29420,12.9,"Dallas-Fort Worth-Arlington, TX"
Mar-1992,2710,297192150,109665,87974,30308,13,"Dallas-Fort Worth-Arlington, TX"
Apr-1992,2789,320461678,114902,88955,30711,13,"Dallas-Fort Worth-Arlington, TX"
May-1992,2846,332401416,116796,87276,30719,13,"Dallas-Fort Worth-Arlington, TX"
Jun-1992,3025,336839800,111352,87570,30652,12.9,"Dallas-Fort Worth-Arlington, TX"
Jul-1992,2873,314475707,109459,88824,30456,12.7,"Dallas-Fort Worth-Arlington, TX"
Aug-1992,2849,318854382,111918,90913,29852,12.5,"Dallas-Fort Worth-Arlington, TX"
Sep-1992,2580,276748860,107267,86290,29202,12.1,"Dallas-Fort Worth-Arlington, TX"
Oct-1992,2648,286963760,108370,85979,28519,11.6,"Dallas-Fort Worth-Arlington, TX"
Nov-1992,2366,250445832,105852,87800,27395,10.9,"Dallas-Fort Worth-Arlington, TX"
Dec-1992,2643,289236705,109435,87076,24842,9.7,"Dallas-Fort Worth-Arlington, TX"
Jan-1993,1791,196024950,109450,88711,25956,10,"Dallas-Fort Worth-Arlington, TX"
Feb-1993,1899,201620628,106172,83371,27360,10.6,"Dallas-Fort Worth-Arlington, TX"
Mar-1993,2652,285540840,107670,87819,28402,11,"Dallas-Fort Worth-Arlington, TX"
Apr-1993,2736,317012112,115867,89402,29199,11.3,"Dallas-Fort Worth-Arlington, TX"
May-1993,3067,342464287,111661,90439,29438,11.3,"Dallas-Fort Worth-Arlington, TX"
Jun-1993,3571,444489512,124472,94204,29118,11,"Dallas-Fort Worth-Arlington, TX"
Jul-1993,3449,417270367,120983,93595,28849,10.7,"Dallas-Fort Worth-Arlington, TX"
Aug-1993,3443,389689069,113183,90799,27880,10.2,"Dallas-Fort Worth-Arlington, TX"
Sep-1993,3012,340283712,112976,89082,27022,9.7,"Dallas-Fort Worth-Arlington, TX"
Oct-1993,2758,320156914,116083,90747,26554,9.5,"Dallas-Fort Worth-Arlington, TX"
Nov-1993,2685,309612720,115312,92103,25555,9.1,"Dallas-Fort Worth-Arlington, TX"
Dec-1993,2788,315911068,113311,91415,23668,8.4,"Dallas-Fort Worth-Arlington, TX"
Jan-1994,1874,214215066,114309,88476,24608,8.7,"Dallas-Fort Worth-Arlington, TX"
Feb-1994,2042,227000972,111166,91537,20718,7.3,"Dallas-Fort Worth-Arlington, TX"
Mar-1994,3216,382427424,118914,94462,20998,7.3,"Dallas-Fort Worth-Arlington, TX"
Apr-1994,3224,388791832,120593,92275,21436,7.3,"Dallas-Fort Worth-Arlington, TX"
May-1994,3359,391625810,116590,93112,21439,7.3,"Dallas-Fort Worth-Arlington, TX"
Jun-1994,3427,394793827,115201,91815,21439,7.3,"Dallas-Fort Worth-Arlington, TX"
Jul-1994,3370,403348560,119688,92243,21355,7.3,"Dallas-Fort Worth-Arlington, TX"
Aug-1994,3464,411609800,118825,93483,20916,7.1,"Dallas-Fort Worth-Arlington, TX"
Sep-1994,2839,310984060,109540,89422,20335,7,"Dallas-Fort Worth-Arlington, TX"
Oct-1994,2593,295275282,113874,90105,20046,6.9,"Dallas-Fort Worth-Arlington, TX"
Nov-1994,2428,274645648,113116,88293,19380,6.7,"Dallas-Fort Worth-Arlington, TX"
Dec-1994,2410,280957800,116580,92268,21741,7.6,"Dallas-Fort Worth-Arlington, TX"
Jan-1995,1699,199194158,117242,86830,23088,8.1,"Dallas-Fort Worth-Arlington, TX"
Feb-1995,2059,240367660,116740,90750,23942,8.4,"Dallas-Fort Worth-Arlington, TX"
Mar-1995,2759,323829348,117372,88426,24385,8.7,"Dallas-Fort Worth-Arlington, TX"
Apr-1995,2273,260476708,114596,89268,24927,9.2,"Dallas-Fort Worth-Arlington, TX"
May-1995,3748,445884568,118966,91268,25339,9.2,"Dallas-Fort Worth-Arlington, TX"
Jun-1995,4222,506281130,119915,96975,24806,8.8,"Dallas-Fort Worth-Arlington, TX"
Jul-1995,3969,489949236,123444,98766,24476,8.5,"Dallas-Fort Worth-Arlington, TX"
Aug-1995,4465,541041910,121174,96869,24211,8.2,"Dallas-Fort Worth-Arlington, TX"
Sep-1995,3478,418831194,120423,95128,23698,7.9,"Dallas-Fort Worth-Arlington, TX"
Oct-1995,3361,399733813,118933,93677,23500,7.6,"Dallas-Fort Worth-Arlington, TX"
Nov-1995,3090,372697260,120614,95727,23282,7.4,"Dallas-Fort Worth-Arlington, TX"
Dec-1995,3073,370536194,120578,95251,21279,6.7,"Dallas-Fort Worth-Arlington, TX"
Jan-1996,2454,310882536,126684,98653,22949,7.1,"Dallas-Fort Worth-Arlington, TX"
Feb-1996,2981,353963940,118740,95861,25497,7.7,"Dallas-Fort Worth-Arlington, TX"
Mar-1996,3789,466611561,123149,100074,24433,7.2,"Dallas-Fort Worth-Arlington, TX"
Apr-1996,4167,511390908,122724,97669,24754,6.9,"Dallas-Fort Worth-Arlington, TX"
May-1996,4570,585659210,128153,100018,24964,6.9,"Dallas-Fort Worth-Arlington, TX"
Jun-1996,4307,562929207,130701,102652,26038,7.1,"Dallas-Fort Worth-Arlington, TX"
Jul-1996,4571,597891371,130801,102156,25456,6.9,"Dallas-Fort Worth-Arlington, TX"
Aug-1996,4375,564746875,129085,99974,24904,6.8,"Dallas-Fort Worth-Arlington, TX"
Sep-1996,3604,449098044,124611,97360,24722,6.7,"Dallas-Fort Worth-Arlington, TX"
Oct-1996,3478,434057878,124801,99439,22794,6.2,"Dallas-Fort Worth-Arlington, TX"
Nov-1996,3193,397285832,124424,99371,22376,6,"Dallas-Fort Worth-Arlington, TX"
Dec-1996,3274,410618532,125418,98923,20362,5.5,"Dallas-Fort Worth-Arlington, TX"
Jan-1997,2526,315123552,124752,96312,20984,5.6,"Dallas-Fort Worth-Arlington, TX"
Feb-1997,3085,385807015,125059,98250,20679,5.5,"Dallas-Fort Worth-Arlington, TX"
Mar-1997,3902,510377698,130799,102558,21582,5.7,"Dallas-Fort Worth-Arlington, TX"
Apr-1997,4026,532072134,132159,102090,24190,6.5,"Dallas-Fort Worth-Arlington, TX"
May-1997,4768,639975264,134223,104815,24566,6.5,"Dallas-Fort Worth-Arlington, TX"
Jun-1997,4835,657676040,136024,106824,24628,6.5,"Dallas-Fort Worth-Arlington, TX"
Jul-1997,5255,706781735,134497,107031,24344,6.3,"Dallas-Fort Worth-Arlington, TX"
Aug-1997,4964,672979408,135572,105968,23744,6.1,"Dallas-Fort Worth-Arlington, TX"
Sep-1997,4395,582051825,132435,106001,23260,5.9,"Dallas-Fort Worth-Arlington, TX"
Oct-1997,4390,587412730,133807,105706,22407,5.5,"Dallas-Fort Worth-Arlington, TX"
Nov-1997,3555,469732815,132133,105605,21406,5.2,"Dallas-Fort Worth-Arlington, TX"
Dec-1997,4131,575064117,139207,109869,20274,4.9,"Dallas-Fort Worth-Arlington, TX"
Jan-1998,3024,398421072,131753,105452,20711,4.9,"Dallas-Fort Worth-Arlington, TX"
Feb-1998,3730,503232950,134915,107747,20751,4.9,"Dallas-Fort Worth-Arlington, TX"
Mar-1998,4981,684962215,137515,109791,21072,4.9,"Dallas-Fort Worth-Arlington, TX"
Apr-1998,5080,693983880,136611,108866,21074,4.8,"Dallas-Fort Worth-Arlington, TX"
May-1998,5579,826216426,148094,115508,21402,4.8,"Dallas-Fort Worth-Arlington, TX"
Jun-1998,6168,908953488,147366,116286,21530,4.7,"Dallas-Fort Worth-Arlington, TX"
Jul-1998,6111,898347555,147005,114897,21485,4.6,"Dallas-Fort Worth-Arlington, TX"
Aug-1998,5480,794906880,145056,113917,21622,4.6,"Dallas-Fort Worth-Arlington, TX"
Sep-1998,4528,622849040,137555,110607,21543,4.6,"Dallas-Fort Worth-Arlington, TX"
Oct-1998,4576,647947872,141597,111125,16133,3.4,"Dallas-Fort Worth-Arlington, TX"
Nov-1998,4159,575414286,138354,110807,15330,3.2,"Dallas-Fort Worth-Arlington, TX"
Dec-1998,4482,645730704,144072,114027,17034,3.5,"Dallas-Fort Worth-Arlington, TX"
Jan-1999,3158,465217612,147314,112176,18737,3.9,"Dallas-Fort Worth-Arlington, TX"
Feb-1999,4066,586370058,144213,113557,20441,4.2,"Dallas-Fort Worth-Arlington, TX"
Mar-1999,5564,813050628,146127,115094,22144,4.5,"Dallas-Fort Worth-Arlington, TX"
Apr-1999,5445,795176910,146038,114561,22774,4.6,"Dallas-Fort Worth-Arlington, TX"
May-1999,5868,888444540,151405,118844,23282,4.7,"Dallas-Fort Worth-Arlington, TX"
Jun-1999,6756,1085493276,160671,122401,24028,4.8,"Dallas-Fort Worth-Arlington, TX"
Jul-1999,6368,956537280,150210,118488,24053,4.8,"Dallas-Fort Worth-Arlington, TX"
Aug-1999,6030,877738860,145562,116400,23680,4.7,"Dallas-Fort Worth-Arlington, TX"
Sep-1999,5295,757709205,143099,112816,23549,4.6,"Dallas-Fort Worth-Arlington, TX"
Oct-1999,4780,706402740,147783,114255,23247,4.5,"Dallas-Fort Worth-Arlington, TX"
Nov-1999,4700,708341700,150711,114783,22207,4.3,"Dallas-Fort Worth-Arlington, TX"
Dec-1999,4889,741661300,151700,118569,21366,4.1,"Dallas-Fort Worth-Arlington, TX"
Jan-2000,3309,516647406,156134,119184,22281,4.2,"Dallas-Fort Worth-Arlington, TX"
Feb-2000,4734,750353202,158503,120527,22491,4.2,"Dallas-Fort Worth-Arlington, TX"
Mar-2000,6230,970428410,155767,121982,22538,4.2,"Dallas-Fort Worth-Arlington, TX"
Apr-2000,5684,904108408,159062,125030,22507,4.2,"Dallas-Fort Worth-Arlington, TX"
May-2000,6617,1073323719,162207,128678,22790,4.2,"Dallas-Fort Worth-Arlington, TX"
Jun-2000,6807,1150076685,168955,131386,23293,4.3,"Dallas-Fort Worth-Arlington, TX"
Jul-2000,6142,1031898994,168007,131913,23916,4.4,"Dallas-Fort Worth-Arlington, TX"
Aug-2000,6428,1074472340,167155,128136,23739,4.3,"Dallas-Fort Worth-Arlington, TX"
Sep-2000,5300,878183500,165695,129107,24376,4.5,"Dallas-Fort Worth-Arlington, TX"
Oct-2000,5251,860659904,163904,126995,24587,4.5,"Dallas-Fort Worth-Arlington, TX"
Nov-2000,4951,812563071,164121,127477,23762,4.3,"Dallas-Fort Worth-Arlington, TX"
Dec-2000,4543,768452993,169151,130782,22576,4.1,"Dallas-Fort Worth-Arlington, TX"
Jan-2001,3743,590656629,157803,124131,24130,4.4,"Dallas-Fort Worth-Arlington, TX"
Feb-2001,4803,795251922,165574,131349,24574,4.4,"Dallas-Fort Worth-Arlington, TX"
Mar-2001,6345,1054761075,166235,133521,25601,4.6,"Dallas-Fort Worth-Arlington, TX"
Apr-2001,5790,960520470,165893,132906,26869,4.8,"Dallas-Fort Worth-Arlington, TX"
May-2001,6839,1162602644,169996,134357,27840,5,"Dallas-Fort Worth-Arlington, TX"
Jun-2001,7281,1288605942,176982,138812,28587,5.1,"Dallas-Fort Worth-Arlington, TX"
Jul-2001,6925,1210524625,174805,138274,29076,5.1,"Dallas-Fort Worth-Arlington, TX"
Aug-2001,6736,1159407056,172121,134495,28813,5,"Dallas-Fort Worth-Arlington, TX"
Sep-2001,5220,867642300,166215,135239,29299,5.1,"Dallas-Fort Worth-Arlington, TX"
Oct-2001,5075,781133850,153918,128038,29766,5.2,"Dallas-Fort Worth-Arlington, TX"
Nov-2001,5018,826349186,164677,135309,28553,5,"Dallas-Fort Worth-Arlington, TX"
Dec-2001,5053,853881205,168985,135475,26900,4.7,"Dallas-Fort Worth-Arlington, TX"
Jan-2002,4209,697027236,165604,132926,28368,4.9,"Dallas-Fort Worth-Arlington, TX"
Feb-2002,5031,840005946,166966,134335,29324,5.1,"Dallas-Fort Worth-Arlington, TX"
Mar-2002,5897,1015504679,172207,137440,29949,5.2,"Dallas-Fort Worth-Arlington, TX"
Apr-2002,6139,1055668579,171961,136030,31009,5.4,"Dallas-Fort Worth-Arlington, TX"
May-2002,6905,1246759895,180559,138578,32274,5.6,"Dallas-Fort Worth-Arlington, TX"
Jun-2002,6548,1145094596,174877,140433,33330,5.8,"Dallas-Fort Worth-Arlington, TX"
Jul-2002,6863,1223014052,178204,139387,34740,6.1,"Dallas-Fort Worth-Arlington, TX"
Aug-2002,6462,1134643194,175587,138647,34784,6.1,"Dallas-Fort Worth-Arlington, TX"
Sep-2002,5494,902026896,164184,134647,35498,6.2,"Dallas-Fort Worth-Arlington, TX"
Oct-2002,5482,927992960,169280,135859,35445,6.2,"Dallas-Fort Worth-Arlington, TX"
Nov-2002,5073,855277362,168594,135185,34421,6,"Dallas-Fort Worth-Arlington, TX"
Dec-2002,5645,990985395,175551,140030,32735,5.6,"Dallas-Fort Worth-Arlington, TX"
Jan-2003,4153,691237779,166443,133681,35552,6.1,"Dallas-Fort Worth-Arlington, TX"
Feb-2003,4545,782280855,172119,137567,36548,6.3,"Dallas-Fort Worth-Arlington, TX"
Mar-2003,6165,1063018620,172428,138351,38255,6.6,"Dallas-Fort Worth-Arlington, TX"
Apr-2003,6008,1032853304,171913,137975,39417,6.8,"Dallas-Fort Worth-Arlington, TX"
May-2003,6775,1214256150,179226,142173,40493,7,"Dallas-Fort Worth-Arlington, TX"
Jun-2003,7038,1269669276,180402,145886,41407,7.1,"Dallas-Fort Worth-Arlington, TX"
Jul-2003,7397,1359894068,183844,145427,41645,7.1,"Dallas-Fort Worth-Arlington, TX"
Aug-2003,7420,1348592420,181751,145446,40924,6.9,"Dallas-Fort Worth-Arlington, TX"
Sep-2003,6289,1136730461,180749,140359,40764,6.8,"Dallas-Fort Worth-Arlington, TX"
Oct-2003,6127,1067543972,174236,135459,39951,6.6,"Dallas-Fort Worth-Arlington, TX"
Nov-2003,4816,860026832,178577,137447,38971,6.5,"Dallas-Fort Worth-Arlington, TX"
Dec-2003,5848,1059985088,181256,140591,37334,6.2,"Dallas-Fort Worth-Arlington, TX"
Jan-2004,4235,718387285,169631,132233,39173,6.5,"Dallas-Fort Worth-Arlington, TX"
Feb-2004,5096,896121408,175848,137309,39958,6.5,"Dallas-Fort Worth-Arlington, TX"
Mar-2004,7074,1263918654,178671,138342,41258,6.7,"Dallas-Fort Worth-Arlington, TX"
Apr-2004,7337,1339552775,182575,140350,42490,6.8,"Dallas-Fort Worth-Arlington, TX"
May-2004,7555,1394433905,184571,142107,43363,6.8,"Dallas-Fort Worth-Arlington, TX"
Jun-2004,8069,1573245206,194974,150218,43657,6.8,"Dallas-Fort Worth-Arlington, TX"
Jul-2004,7918,1483643168,187376,146516,43866,6.8,"Dallas-Fort Worth-Arlington, TX"
Aug-2004,7692,1442673060,187555,144753,43402,6.7,"Dallas-Fort Worth-Arlington, TX"
Sep-2004,6570,1165892490,177457,139165,42587,6.5,"Dallas-Fort Worth-Arlington, TX"
Oct-2004,6254,1116213920,178480,140764,41882,6.4,"Dallas-Fort Worth-Arlington, TX"
Nov-2004,5937,1063174212,179076,141484,40232,6.1,"Dallas-Fort Worth-Arlington, TX"
Dec-2004,6609,1220437767,184663,141283,37807,5.6,"Dallas-Fort Worth-Arlington, TX"
Jan-2005,4422,775198710,175305,135140,40441,6,"Dallas-Fort Worth-Arlington, TX"
Feb-2005,5551,1004414593,180943,139826,41739,6.2,"Dallas-Fort Worth-Arlington, TX"
Mar-2005,7763,1467207000,189000,144074,43129,6.3,"Dallas-Fort Worth-Arlington, TX"
Apr-2005,7774,1456676572,187378,144282,44398,6.5,"Dallas-Fort Worth-Arlington, TX"
May-2005,8392,1607949160,191605,147371,44391,6.4,"Dallas-Fort Worth-Arlington, TX"
Jun-2005,9506,1890020944,198824,150958,44666,6.4,"Dallas-Fort Worth-Arlington, TX"
Jul-2005,8582,1687718956,196658,152586,44920,6.3,"Dallas-Fort Worth-Arlington, TX"
Aug-2005,8919,1744779375,195625,150914,43754,6.1,"Dallas-Fort Worth-Arlington, TX"
Sep-2005,7710,1454098290,188599,147852,42589,5.8,"Dallas-Fort Worth-Arlington, TX"
Oct-2005,6956,1322704268,190153,147784,42118,5.7,"Dallas-Fort Worth-Arlington, TX"
Nov-2005,6510,1272145140,195414,150751,41299,5.6,"Dallas-Fort Worth-Arlington, TX"
Dec-2005,6736,1326965056,196996,149600,39044,5.3,"Dallas-Fort Worth-Arlington, TX"
Jan-2006,5125,953962375,186139,142501,41065,5.5,"Dallas-Fort Worth-Arlington, TX"
Feb-2006,6325,1198461000,189480,146228,42016,5.6,"Dallas-Fort Worth-Arlington, TX"
Mar-2006,8776,1677646488,191163,147022,43353,5.7,"Dallas-Fort Worth-Arlington, TX"
Apr-2006,7905,1498708950,189590,146542,45104,5.9,"Dallas-Fort Worth-Arlington, TX"
May-2006,9405,1918986795,204039,154825,46039,6,"Dallas-Fort Worth-Arlington, TX"
Jun-2006,10507,2166417316,206188,156001,46946,6,"Dallas-Fort Worth-Arlington, TX"
Jul-2006,8945,1804904210,201778,154427,48023,6.1,"Dallas-Fort Worth-Arlington, TX"
Aug-2006,9495,1909890765,201147,151254,47496,6,"Dallas-Fort Worth-Arlington, TX"
Sep-2006,7571,1400839417,185027,143799,47777,6.1,"Dallas-Fort Worth-Arlington, TX"
Oct-2006,7450,1414687950,189891,145446,46635,5.9,"Dallas-Fort Worth-Arlington, TX"
Nov-2006,6901,1332417476,193076,147762,45142,5.7,"Dallas-Fort Worth-Arlington, TX"
Dec-2006,7104,1407408960,198115,149090,42692,5.4,"Dallas-Fort Worth-Arlington, TX"
Jan-2007,5432,1032883936,190148,142257,43851,5.5,"Dallas-Fort Worth-Arlington, TX"
Feb-2007,6319,1213665054,192066,145496,44970,5.6,"Dallas-Fort Worth-Arlington, TX"
Mar-2007,8449,1692427639,200311,149161,47916,6,"Dallas-Fort Worth-Arlington, TX"
Apr-2007,7741,1608912663,207843,154180,49641,6.2,"Dallas-Fort Worth-Arlington, TX"
May-2007,8958,1897035660,211770,154911,50186,6.3,"Dallas-Fort Worth-Arlington, TX"
Jun-2007,9240,1997798880,216212,158909,50548,6.5,"Dallas-Fort Worth-Arlington, TX"
Jul-2007,8935,1858694440,208024,156162,50440,6.5,"Dallas-Fort Worth-Arlington, TX"
Aug-2007,8910,1887111270,211797,156764,49507,6.4,"Dallas-Fort Worth-Arlington, TX"
Sep-2007,6210,1231455420,198302,149796,49426,6.5,"Dallas-Fort Worth-Arlington, TX"
Oct-2007,6551,1281945537,195687,146433,48300,6.4,"Dallas-Fort Worth-Arlington, TX"
Nov-2007,6145,1248203125,203125,149037,46154,6.2,"Dallas-Fort Worth-Arlington, TX"
Dec-2007,5712,1139429760,199480,146676,42267,5.7,"Dallas-Fort Worth-Arlington, TX"
Jan-2008,4659,867748068,186252,140702,43944,6,"Dallas-Fort Worth-Arlington, TX"
Feb-2008,5729,1096811321,191449,142592,44274,6.1,"Dallas-Fort Worth-Arlington, TX"
Mar-2008,6572,1326834224,201892,150862,45456,6.4,"Dallas-Fort Worth-Arlington, TX"
Apr-2008,7053,1417187502,200934,148923,45783,6.5,"Dallas-Fort Worth-Arlington, TX"
May-2008,7751,1622904380,209380,154764,45499,6.5,"Dallas-Fort Worth-Arlington, TX"
Jun-2008,7728,1625368416,210322,156760,45534,6.7,"Dallas-Fort Worth-Arlington, TX"
Jul-2008,7559,1583852388,209532,155158,44771,6.7,"Dallas-Fort Worth-Arlington, TX"
Aug-2008,7312,1512465264,206847,152823,42888,6.5,"Dallas-Fort Worth-Arlington, TX"
Sep-2008,6394,1239764630,193895,143995,41398,6.3,"Dallas-Fort Worth-Arlington, TX"
Oct-2008,5575,1091506950,195786,146157,40269,6.2,"Dallas-Fort Worth-Arlington, TX"
Nov-2008,4099,776526857,189443,139348,40069,6.3,"Dallas-Fort Worth-Arlington, TX"
Dec-2008,4883,933424514,191158,142391,36973,5.9,"Dallas-Fort Worth-Arlington, TX"
Jan-2009,3447,590743413,171379,132936,38215,6.2,"Dallas-Fort Worth-Arlington, TX"
Feb-2009,4273,779779770,182490,141643,39087,6.5,"Dallas-Fort Worth-Arlington, TX"
Mar-2009,5354,986726138,184297,141160,40065,6.7,"Dallas-Fort Worth-Arlington, TX"
Apr-2009,5408,997116224,184378,143038,40615,7,"Dallas-Fort Worth-Arlington, TX"
May-2009,6018,1179076650,195925,153900,40878,7.2,"Dallas-Fort Worth-Arlington, TX"
Jun-2009,6807,1391350800,204400,158109,37793,6.8,"Dallas-Fort Worth-Arlington, TX"
Jul-2009,7110,1402020900,197190,154797,37545,6.8,"Dallas-Fort Worth-Arlington, TX"
Aug-2009,6240,1255681440,201231,152590,36879,6.7,"Dallas-Fort Worth-Arlington, TX"
Sep-2009,5920,1120827680,189329,147208,35612,6.6,"Dallas-Fort Worth-Arlington, TX"
Oct-2009,6252,1141977816,182658,144791,34525,6.3,"Dallas-Fort Worth-Arlington, TX"
Nov-2009,5632,1049793536,186398,144228,33826,6,"Dallas-Fort Worth-Arlington, TX"
Dec-2009,5014,965641246,192589,143852,32269,5.7,"Dallas-Fort Worth-Arlington, TX"
Jan-2010,3338,609952740,182730,137386,34194,6.1,"Dallas-Fort Worth-Arlington, TX"
Feb-2010,4174,773133324,185226,142752,35715,6.4,"Dallas-Fort Worth-Arlington, TX"
Mar-2010,6151,1175554516,191116,148549,37262,6.6,"Dallas-Fort Worth-Arlington, TX"
Apr-2010,7075,1386707075,196001,151238,37429,6.4,"Dallas-Fort Worth-Arlington, TX"
May-2010,7210,1435352380,199078,153723,39493,6.7,"Dallas-Fort Worth-Arlington, TX"
Jun-2010,6783,1448936979,213613,157076,41302,7,"Dallas-Fort Worth-Arlington, TX"
Jul-2010,4936,1084449072,219702,159690,42579,7.4,"Dallas-Fort Worth-Arlington, TX"
Aug-2010,5172,1064925144,205902,157932,41922,7.4,"Dallas-Fort Worth-Arlington, TX"
Sep-2010,4711,933786154,198214,148200,40996,7.4,"Dallas-Fort Worth-Arlington, TX"
Oct-2010,4415,857114855,194137,146697,39438,7.3,"Dallas-Fort Worth-Arlington, TX"
Nov-2010,4211,851704227,202257,145994,37556,7.1,"Dallas-Fort Worth-Arlington, TX"
Dec-2010,4699,1020260977,217123,154406,35287,6.7,"Dallas-Fort Worth-Arlington, TX"
Jan-2011,3248,614076019,189063,141990,35274,6.8,"Dallas-Fort Worth-Arlington, TX"
Feb-2011,3624,721939425,199211,145000,35785,6.9,"Dallas-Fort Worth-Arlington, TX"
Mar-2011,5316,1047956718,197133,142900,36825,7.2,"Dallas-Fort Worth-Arlington, TX"
