"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"LaGrange, GA",487,129900,134500,129900,129000,127682,129000,125000,129000,129900,129500,124900,109900,109900,102500,104900,111450,119900,124900,119900,115000,119000,121990,115000,109900,109000,104500,109900,114900,104900,109900,112250,125000,114900,128000,135900,133400,132900,128990,134900,132500,134500,134900,134950,132500,139000,139000,135000,136500,129650,129900,139950,142900,144900,145900,149900,145450,144850,139900,134900,139900,139900,138900,134900,127200,129900,134900,132500,127500,128800,125000,127250,119900,117888,119900,129900,134950,132900,136450,139900,138000,138000,129900,129900,130000,129900,125000,129900,137500,145000,143950,149900,148500
"Marion, OH",488,82900,82900,85000,89900,92500,89900,89900,88950,89900,88250,89000,79900,69900,69900,79900,78900,87250,79900,79900,79900,79900,74900,75000,75900,77900,75000,75000,79000,84900,83000,84900,89500,79900,79900,79950,76250,74900,74900,74900,74950,81700,83650,85000,85000,84900,83900,81500,79900,76000,78900,75000,79900,79998,88250,86400,89900,88400,89900,89450,86400,84900,79900,75900,74500,87838.5,84900,83250,83950,84900,83749,84500,79900,79900,79900,85000,89900,94900,94838.5,99900,99900,94500,94700,99900,94900,85000,82700,84900,80250,86250,96750,99900,89900
"Morehead City, NC",489,319000,319950,324450,319000,325000,325000,320000,319000,319000,315000,309000,299950,295900,297500,294700,295450,297000,295000,289900,297000,299000,299000,299000,296500,285000,275000,279000,279000,275000,275000,270000,265000,266000,266000,269900,269000,269999.5,269750,269057,269900,269900,274900,270949.5,274900,275000,275000,269000,265000,264950,269900,274400,277900,278252,275000,275000,279500,279900,279550,279900,282450,285000,291030,288900,291030,288900,284949.5,279900,284900,281000,279900,275000,274900,270000,279000,282500,279000,275000,275000,275000,279900,280000,287250,279900,279900,280000,284000,287500,289900,289000,291900,299000,299000
"Klamath Falls, OR",490,169000,179900,172500,169900,165000,163900,162000,159900,155000,157250,149000,139900,134950,139250,139900,130000,129900,134900,142750,149900,149000,145000,139900,133500,134000,129900,134900,135900,135000,135000,139000,149000,150000,159000,165000,165000,173000,175000,179000,179900,179900,185000,185000,188900,180000,181500,180000,175000,170700,179000,175900,179900,179000,179950,185000,179900,179900,179000,179900,169900,174950,175000,179900,186000,185450,179950,187000,189900,189900,189000,194950,189900,189900,189000,189950,189000,195000,195000,189900,189500,189000,189450,187900,185000,182900,184500,182500,189900,199500,198500,199900,195000
"Marinette, WI",491,129900,128000,129900,129900,129000,117900,118000,119900,119700,119500,113900,106950,104900,105900,109900,109900,119000,119000,115000,114900,114900,105000,105000,99900,90000,89900,89500,89500,89900,89900,89900,93000,95000,98500,99900,99900,99900,105000,99900,99900,105450,103000,104500,106000,105250,109900,99900,99900,104900,99900,104900,102250,108950,109900,109900,109900,109900,109900,105900,109900,105000,99900,104900,106900,114700,112450,117000,125400,129900,129900,129900,124900,114900,99900,109900,114900,115950,119900,119900,119900,120000,119900,124900,124900,119900,119900,119900,123900,129900,129900,129000,129000
"Roswell, NM",492,150000,154950,156250,155000,152900,159000,154900,157750,154950,151700,154200,149900,150000,154900,154900,155000,155500,156000,155000,150000,149450,149900,149000,144900,138000,135000,140000,143000,144950,143000,139900,140000,139700,139900,139900,139950,138950,139700,138750,139900,142500,145000,139900,139900,139900,140000,145000,139250,138950,139950,145000,149000,149000,149000,155000,155500,152400,149000,152250,154700,155000,159000,158500,159000,158250,152800,149400,145000,140000,139000,139950,138500,139000,140000,139000,139000,146250,152500,150000,160000,155000,154000,160000,159900,150000,145000,149900,151000,148650,152900,159900,172000
"Marshall, TX",493,169900,170000,169900,164950,169900,167000,165000,169500,169500,165500,164900,164500,156250,155000,157200,159950,164950,179000,172250,179250,185450,174950,182250,179900,164500,157500,165000,157000,155500,167500,155950,165000,177500,169900,174750,175450,179000,179000,180000,177750,179000,174500,169500,169500,174700,174900,167500,167500,179000,180950,182000,188900,193500,185000,189250,187500,179900,179000,178950,178900,179900,184450,179950,180000,180000,183500,189250,189900,185000,189900,179900,179900,174700,169900,175000,174900,174900,174500,174900,175900,168500,169900,171000,169900,172250,177625,182500,184900,193900,190900,191950,189900
"Farmington, MO",494,120000,119900,119900,119900,119900,119900,117900,115950,119900,123900,120500,120000,109900,104900,109900,113000,116900,119700,118500,120000,114900,113250,109900,109900,109900,109900,109900,114900,114000,114700,114937.5,111500,105000,98000,107000,109000,105950,107000,109900,110000,117950,117900,115000,113200,115000,119900,114900,116000,109900,109900,109900,118950,119900,119900,115450,114900,114900,110000,114950,114900,110000,109900,110375,114900,115200,115900,113700,111000,113900,109900,109900,99900,98750,1e+05,108250,109900,114900,114950,116900,115000,115000,114950,114900,109250,1e+05,103000,110450,115000,119000,115000,119900,119000
"Charleston, IL",495,87750,91200,93200,89700,92700,94900,94900,91900,92000,86950,94500,89450,88250,85250,94900,92900,95000,97950,93000,97200,98700,94900,92500,99100,99100,96200,97900,89900,92000,99999,102449.5,99700,104900,93500,89900,85500,80000,83700,85800,89900,96450,89900,89900,89000,87000,87000,84900,84900,81950,87250,89500,87700,92500,90000,96500,97500,94950,89900,87500,85900,85450,85000,87700,85000,89900,89900,90000,89900,89900,89900,89900,89500,89900,93700,95000,98500,97750,103200,102450,94500,90500,87950,87700,85000,79900,84700,84500,86000,85000,88950,89900,91000
"Athens, OH",496,137500,140000,149000,149950,149500,149950,148500,149500,148900,139500,134000,129000,126000,119000,132000,132000,139900,140950,148000,139900,137500,138500,134900,129900,134900,130750,133700,137900,139900,149900,149700,144500,136750,129900,139000,138000,136450,135000,135000,136000,135000,137500,145000,142492.5,139500,144900,148950,149900,146400,144900,159000,149900,147000,147950,149800,146900,142400,139900,136250,137500,139000,140000,150000,154900,152200,152500,158500,157500,159000,159500,159900,163500,156950,159000,165000,164900,158000,158000,158450,159900,159700,155000,144450,142900,142450,159900,164950,165000,167700,174950,189000,179500
